item_id,sku,product_name,category,subcategory,location,location_type,region,quantity_on_hand,min_stock,max_stock,unit_cost,selling_price,total_value,last_movement_date,last_sale_date,age_days,demand_90_day,sell_through_rate,gross_margin_pct,status,recommended_action
INV-00011,F-1011,DOT 4 Brake Fluid 12oz,Fluids,Brake Fluid,Store-WhitePlains,Retail Store,NYC Metro,13,20,48,6.13,9.81,79.69,2025-07-16,2025-07-26,350,22,0.6286,0.3751,Stockout Risk,Replenish
INV-00012,F-1012,Engine Air Filter AF-9921,Filters,Air,Store-Yonkers,Retail Store,NYC Metro,70,18,44,13.69,19.3,958.3,2026-02-27,2026-03-09,124,8,0.1026,0.2907,Excess,Review Transfer
INV-00013,SS-1013,Nitrile Gloves Box/100,Shop Supplies,Safety,DC-NY,Distribution Center,Northeast,71,18,56,19.28,28.68,1368.88,2025-09-24,2025-10-04,280,16,0.1839,0.3278,Excess / Aged,Transfer or Markdown
INV-00014,F-1014,Synthetic Motor Oil 5W-30 5qt,Fluids,Motor Oil,Store-Manhattan,Retail Store,NYC Metro,15,8,27,28.91,43.93,433.65,2026-05-10,2026-05-20,52,15,0.5,0.3419,Healthy,Monitor
INV-00015,T-1015,Mavis SnowTrack 205/55R16,Tires,Winter,Store-Yonkers,Retail Store,NYC Metro,47,15,49,96.81,131.59,4550.07,2025-11-09,2025-11-17,234,3,0.06,0.2643,Slow-Moving,Markdown Review
INV-00016,B-1016,Economy Battery 35R,Batteries,Standard,Store-Queens,Retail Store,NYC Metro,21,20,41,86.63,118.47,1819.23,2026-01-08,2026-01-20,174,34,0.6182,0.2688,Healthy,Monitor
INV-00017,SS-1017,Multi-Purpose Grease 14oz,Shop Supplies,Lubricants,Store-Bronx,Retail Store,NYC Metro,33,19,42,8.12,12.58,267.96,2025-09-25,2025-10-03,279,4,0.1081,0.3545,Slow-Moving,Markdown Review
INV-00018,F-1018,Engine Air Filter AF-9921,Filters,Air,Store-Queens,Retail Store,NYC Metro,27,13,52,13.62,21.34,367.74,2026-04-18,2026-04-18,74,11,0.2895,0.3618,Healthy,Monitor
INV-00019,T-1019,Impact Wrench 1/2in 20V,Tools,Power Tools,Store-Brooklyn,Retail Store,NYC Metro,63,17,36,202.91,301.09,12783.33,2025-12-01,2025-12-03,212,32,0.3368,0.3261,Excess / Aged,Transfer or Markdown
INV-00020,BP-1020,Vented Brake Rotor 11.8in,Brake Parts,Rotors,Store-Queens,Retail Store,NYC Metro,47,11,35,46.88,64.95,2203.36,2025-10-08,2025-10-13,266,21,0.3088,0.2782,Excess / Aged,Transfer or Markdown
INV-00021,B-1021,Deep Cycle Marine 27DC,Batteries,Marine,Store-Stamford,Retail Store,Connecticut,44,12,54,152.33,241.23,6702.52,2025-09-09,2025-09-12,295,16,0.2667,0.3685,Healthy,Monitor
INV-00022,B-1022,Mavis PowerStart 24F,Batteries,Automotive,Store-WhitePlains,Retail Store,NYC Metro,59,18,46,124.82,185.57,7364.38,2026-03-06,2026-03-07,117,2,0.0328,0.3274,Excess,Review Transfer
INV-00023,T-1023,Impact Wrench 1/2in 20V,Tools,Power Tools,DC-PA,Distribution Center,Northeast,61,17,41,206.1,325.13,12572.1,2025-10-29,2025-10-31,245,19,0.2375,0.3661,Excess / Aged,Transfer or Markdown
INV-00024,F-1024,Inline Fuel Filter FF-330,Filters,Fuel,Store-WhitePlains,Retail Store,NYC Metro,24,16,43,12.08,16.61,289.92,2025-10-09,2025-10-17,265,4,0.1429,0.2727,Slow-Moving,Markdown Review
INV-00025,SS-1025,Brake Cleaner 19oz,Shop Supplies,Cleaning,Store-Queens,Retail Store,NYC Metro,12,18,34,5.3,7.32,63.6,2025-12-03,2025-12-07,210,6,0.3333,0.276,Stockout Risk,Replenish
INV-00026,BP-1026,Vented Brake Rotor 11.8in,Brake Parts,Rotors,Store-Manhattan,Retail Store,NYC Metro,21,18,38,48.15,73.54,1011.15,2025-06-08,2025-06-16,388,34,0.6182,0.3453,Healthy,Monitor
INV-00027,B-1027,Mavis AGM 47H6,Batteries,AGM,DC-NY,Distribution Center,Northeast,36,9,52,181.11,270.94,6519.96,2025-12-08,2025-12-19,205,16,0.3077,0.3315,Healthy,Monitor
INV-00028,T-1028,OBD-II Code Reader Pro,Tools,Diagnostic,Store-Brooklyn,Retail Store,NYC Metro,14,13,56,125.99,182.62,1763.86,2025-11-01,2025-11-08,242,18,0.5625,0.3101,Healthy,Monitor
INV-00029,F-1029,Extended Life Coolant 1gal,Fluids,Coolant,Store-Brooklyn,Retail Store,NYC Metro,23,19,47,19.23,26.77,442.29,2026-06-18,2026-06-29,13,12,0.3429,0.2817,Healthy,Monitor
INV-00030,B-1030,Mavis AGM 47H6,Batteries,AGM,Store-Manhattan,Retail Store,NYC Metro,43,12,30,192.01,301.09,8256.43,2025-09-21,2025-09-25,283,4,0.0851,0.3623,Excess / Aged,Transfer or Markdown
INV-00031,A-1031,LED Headlight Bulb H11 Pair,Accessories,Lighting,Store-Yonkers,Retail Store,NYC Metro,39,12,30,37.2,56.41,1450.8,2025-06-11,2025-06-14,385,34,0.4658,0.3405,Excess / Aged,Transfer or Markdown
INV-00032,F-1032,Extended Life Coolant 1gal,Fluids,Coolant,Store-Queens,Retail Store,NYC Metro,39,12,51,19.34,27.8,754.26,2025-07-26,2025-07-30,340,33,0.4583,0.3043,Healthy,Monitor
INV-00033,F-1033,ATF+4 Transmission Fluid 1qt,Fluids,Transmission,Store-Brooklyn,Retail Store,NYC Metro,75,19,41,9.35,13.84,701.25,2025-06-03,2025-06-05,393,6,0.0741,0.3244,Excess / Aged,Transfer or Markdown
INV-00034,A-1034,All-Weather Floor Mat Set,Accessories,Floor Mats,Store-Stamford,Retail Store,Connecticut,7,9,50,51.96,78.23,363.72,2025-08-20,2025-09-02,315,29,0.8056,0.3358,Stockout Risk,Replenish
INV-00035,F-1035,Inline Fuel Filter FF-330,Filters,Fuel,Store-Bronx,Retail Store,NYC Metro,27,8,46,11.42,17.98,308.34,2025-09-25,2025-09-30,279,14,0.3415,0.3648,Healthy,Monitor
INV-00036,F-1036,Premium Oil Filter PF-2234,Filters,Oil,DC-PA,Distribution Center,Northeast,81,8,51,9.04,12.62,732.24,2026-03-18,2026-03-19,105,1,0.0122,0.2837,Excess,Review Transfer
INV-00037,T-1037,Hydraulic Floor Jack 3-Ton,Tools,Lifts,DC-NJ,Distribution Center,Northeast,56,12,44,161.87,256.28,9064.72,2025-06-29,2025-07-01,367,1,0.0175,0.3684,Excess / Aged,Transfer or Markdown
INV-00038,B-1038,Deep Cycle Marine 27DC,Batteries,Marine,Store-Stamford,Retail Store,Connecticut,34,14,44,141.57,196.72,4813.38,2026-04-28,2026-04-28,64,32,0.4848,0.2803,Healthy,Monitor
INV-00039,T-1039,Mavis Tour Plus 215/60R16,Tires,All-Season,Store-WhitePlains,Retail Store,NYC Metro,21,20,38,90.72,127.91,1905.12,2025-11-28,2025-12-08,215,32,0.6038,0.2908,Healthy,Monitor
INV-00040,SS-1040,Multi-Purpose Grease 14oz,Shop Supplies,Lubricants,Store-Yonkers,Retail Store,NYC Metro,6,8,44,7.6,12.37,45.6,2025-08-24,2025-08-25,311,28,0.8235,0.3856,Stockout Risk,Replenish
INV-00041,T-1041,Mavis SnowTrack 205/55R16,Tires,Winter,Store-Queens,Retail Store,NYC Metro,10,20,44,103.25,148.26,1032.5,2025-12-06,2025-12-15,207,17,0.6296,0.3036,Stockout Risk,Replenish
INV-00042,A-1042,LED Headlight Bulb H11 Pair,Accessories,Lighting,Store-Stamford,Retail Store,Connecticut,38,14,29,37.46,52.15,1423.48,2025-11-08,2025-11-17,235,5,0.1163,0.2817,Excess / Aged,Transfer or Markdown
INV-00043,T-1043,Hydraulic Floor Jack 3-Ton,Tools,Lifts,Store-Queens,Retail Store,NYC Metro,14,8,51,170.02,253.37,2380.28,2025-10-22,2025-11-04,252,6,0.3,0.329,Healthy,Monitor
INV-00044,T-1044,3/8in Drive Socket Set 40pc,Tools,Hand Tools,Store-Yonkers,Retail Store,NYC Metro,45,19,34,55.6,78.94,2502.0,2026-05-12,2026-05-24,50,10,0.1818,0.2957,Excess,Review Transfer
INV-00045,B-1045,Deep Cycle Marine 27DC,Batteries,Marine,Store-Brooklyn,Retail Store,NYC Metro,79,17,50,144.23,210.9,11394.17,2025-07-01,2025-07-10,365,26,0.2476,0.3161,Excess / Aged,Transfer or Markdown
INV-00046,A-1046,Serpentine Belt 6-Rib 68in,Accessories,Belts,Store-Queens,Retail Store,NYC Metro,75,9,43,23.88,33.93,1791.0,2025-07-01,2025-07-07,365,9,0.1071,0.2962,Excess / Aged,Transfer or Markdown
INV-00047,A-1047,All-Weather Floor Mat Set,Accessories,Floor Mats,Store-Yonkers,Retail Store,NYC Metro,88,18,57,50.46,70.33,4440.48,2026-05-14,2026-05-14,48,30,0.2542,0.2825,Excess,Review Transfer
INV-00048,BP-1048,Reman Brake Caliper - Rear,Brake Parts,Calipers,Store-Newark,Retail Store,New Jersey,65,12,36,70.08,100.59,4555.2,2026-04-28,2026-05-11,64,32,0.3299,0.3033,Excess,Review Transfer
INV-00049,F-1049,DOT 4 Brake Fluid 12oz,Fluids,Brake Fluid,DC-NJ,Distribution Center,Northeast,35,13,31,6.05,8.26,211.75,2026-06-18,2026-06-18,13,24,0.4068,0.2676,Excess,Review Transfer
INV-00050,F-1050,Engine Air Filter AF-9921,Filters,Air,Store-Manhattan,Retail Store,NYC Metro,67,14,49,14.21,22.91,952.07,2026-01-14,2026-01-18,168,28,0.2947,0.3797,Excess,Review Transfer
INV-00051,SS-1051,Nitrile Gloves Box/100,Shop Supplies,Safety,Store-Newark,Retail Store,New Jersey,32,14,30,18.28,27.81,584.96,2026-04-12,2026-04-15,80,31,0.4921,0.3427,Excess,Review Transfer
INV-00052,A-1052,LED Headlight Bulb H11 Pair,Accessories,Lighting,Store-Queens,Retail Store,NYC Metro,0,11,27,37.45,59.92,0.0,2026-01-22,2026-01-29,160,32,1.0,0.375,Stockout Risk,Replenish
INV-00053,T-1053,Mavis Fleet HD 225/75R16,Tires,Commercial,DC-NY,Distribution Center,Northeast,62,13,55,147.72,242.83,9158.64,2026-05-16,2026-05-28,46,29,0.3187,0.3917,Excess,Review Transfer
INV-00054,B-1054,Deep Cycle Marine 27DC,Batteries,Marine,Store-Yonkers,Retail Store,NYC Metro,55,15,53,140.18,211.79,7709.9,2025-10-03,2025-10-14,271,21,0.2763,0.3381,Excess / Aged,Transfer or Markdown
INV-00055,B-1055,Deep Cycle Marine 27DC,Batteries,Marine,Store-Brooklyn,Retail Store,NYC Metro,79,20,60,147.53,210.96,11654.87,2025-12-16,2025-12-21,197,27,0.2547,0.3007,Excess / Aged,Transfer or Markdown
INV-00056,T-1056,Mavis Sport Grip 245/40R18,Tires,Performance,DC-NJ,Distribution Center,Northeast,12,13,42,122.85,179.35,1474.2,2026-01-04,2026-01-07,178,21,0.6364,0.315,Stockout Risk,Replenish
INV-00057,T-1057,Hydraulic Floor Jack 3-Ton,Tools,Lifts,Store-Bronx,Retail Store,NYC Metro,13,13,39,172.41,280.15,2241.33,2025-09-15,2025-09-19,289,8,0.381,0.3846,Healthy,Monitor
INV-00058,SS-1058,Multi-Purpose Grease 14oz,Shop Supplies,Lubricants,Store-Brooklyn,Retail Store,NYC Metro,35,18,42,8.02,12.76,280.7,2025-11-16,2025-11-28,227,33,0.4853,0.3715,Healthy,Monitor
INV-00059,F-1059,Extended Life Coolant 1gal,Fluids,Coolant,Store-Brooklyn,Retail Store,NYC Metro,6,17,50,17.95,27.97,107.7,2026-02-27,2026-03-10,124,6,0.5,0.3582,Stockout Risk,Replenish
INV-00060,F-1060,Synthetic Motor Oil 5W-30 5qt,Fluids,Motor Oil,Store-Newark,Retail Store,New Jersey,68,19,37,29.64,40.77,2015.52,2025-10-15,2025-10-16,259,22,0.2444,0.273,Excess / Aged,Transfer or Markdown
INV-00061,F-1061,Synthetic Motor Oil 5W-30 5qt,Fluids,Motor Oil,Store-Stamford,Retail Store,Connecticut,68,17,36,29.26,46.37,1989.68,2025-05-25,2025-06-06,402,5,0.0685,0.369,Excess / Aged,Transfer or Markdown
INV-00062,A-1062,All-Weather Floor Mat Set,Accessories,Floor Mats,Store-Yonkers,Retail Store,NYC Metro,8,20,63,47.97,73.63,383.76,2026-03-13,2026-03-21,110,25,0.7576,0.3485,Stockout Risk,Replenish
INV-00063,BP-1063,Vented Brake Rotor 11.8in,Brake Parts,Rotors,DC-NJ,Distribution Center,Northeast,0,9,40,49.01,77.4,0.0,2025-11-01,2025-11-07,242,16,1.0,0.3668,Stockout Risk,Replenish
INV-00064,A-1064,Serpentine Belt 6-Rib 68in,Accessories,Belts,Store-Yonkers,Retail Store,NYC Metro,18,14,43,23.57,32.65,424.26,2025-10-21,2025-11-03,253,4,0.1818,0.2781,Healthy,Monitor
INV-00065,T-1065,Hydraulic Floor Jack 3-Ton,Tools,Lifts,DC-NY,Distribution Center,Northeast,60,14,48,167.83,243.37,10069.8,2026-01-04,2026-01-15,178,32,0.3478,0.3104,Excess,Review Transfer
INV-00066,T-1066,Hydraulic Floor Jack 3-Ton,Tools,Lifts,Store-Newark,Retail Store,New Jersey,57,18,55,161.94,226.28,9230.58,2026-03-06,2026-03-11,117,27,0.3214,0.2843,Excess,Review Transfer
INV-00067,A-1067,LED Headlight Bulb H11 Pair,Accessories,Lighting,DC-NJ,Distribution Center,Northeast,48,9,52,39.9,60.48,1915.2,2025-12-27,2026-01-01,186,25,0.3425,0.3403,Healthy,Monitor
INV-00068,A-1068,LED Headlight Bulb H11 Pair,Accessories,Lighting,Store-Stamford,Retail Store,Connecticut,52,12,50,40.9,64.02,2126.8,2025-12-10,2025-12-15,203,4,0.0714,0.3611,Excess / Aged,Transfer or Markdown
INV-00069,SS-1069,Multi-Purpose Grease 14oz,Shop Supplies,Lubricants,Store-Stamford,Retail Store,Connecticut,17,13,31,7.6,11.6,129.2,2025-07-09,2025-07-18,357,30,0.6383,0.3448,Healthy,Monitor
INV-00070,T-1070,Mavis Sport Grip 245/40R18,Tires,Performance,Store-WhitePlains,Retail Store,NYC Metro,6,15,30,121.95,181.41,731.7,2025-12-20,2026-01-01,193,25,0.8065,0.3278,Stockout Risk,Replenish
INV-00071,B-1071,Deep Cycle Marine 27DC,Batteries,Marine,Store-Queens,Retail Store,NYC Metro,34,8,32,139.83,230.6,4754.22,2025-06-10,2025-06-21,386,25,0.4237,0.3936,Excess / Aged,Transfer or Markdown
INV-00072,T-1072,Mavis Sport Grip 245/40R18,Tires,Performance,Store-Newark,Retail Store,New Jersey,57,16,39,130.71,202.56,7450.47,2025-07-14,2025-07-15,352,1,0.0172,0.3547,Excess / Aged,Transfer or Markdown
INV-00073,BP-1073,Ceramic Brake Pad Set - Front,Brake Parts,Pads,Store-WhitePlains,Retail Store,NYC Metro,46,16,33,33.36,46.47,1534.56,2025-06-19,2025-06-19,377,30,0.3947,0.2821,Excess / Aged,Transfer or Markdown
INV-00074,SS-1074,Multi-Purpose Grease 14oz,Shop Supplies,Lubricants,Store-Yonkers,Retail Store,NYC Metro,1,18,38,7.53,10.18,7.53,2025-06-14,2025-06-23,382,10,0.9091,0.2603,Stockout Risk,Replenish
INV-00075,BP-1075,Vented Brake Rotor 11.8in,Brake Parts,Rotors,DC-NY,Distribution Center,Northeast,84,18,51,50.61,69.19,4251.24,2025-07-29,2025-08-01,337,33,0.2821,0.2685,Excess / Aged,Transfer or Markdown
INV-00076,T-1076,OBD-II Code Reader Pro,Tools,Diagnostic,Store-Yonkers,Retail Store,NYC Metro,11,20,62,133.36,181.64,1466.96,2025-08-10,2025-08-20,325,29,0.725,0.2658,Stockout Risk,Replenish
INV-00077,F-1077,Cabin Air Filter CF-1180,Filters,Cabin,DC-PA,Distribution Center,Northeast,43,9,27,16.71,26.83,718.53,2025-11-29,2025-12-10,214,18,0.2951,0.3772,Excess / Aged,Transfer or Markdown
INV-00078,F-1078,Cabin Air Filter CF-1180,Filters,Cabin,DC-NJ,Distribution Center,Northeast,4,18,55,16.85,27.7,67.4,2026-04-07,2026-04-11,85,0,0.0,0.3917,Stockout Risk,Replenish
INV-00079,T-1079,Hydraulic Floor Jack 3-Ton,Tools,Lifts,Store-Manhattan,Retail Store,NYC Metro,4,14,30,171.34,267.78,685.36,2025-10-14,2025-10-14,260,0,0.0,0.3601,Stockout Risk,Replenish
INV-00080,F-1080,Engine Air Filter AF-9921,Filters,Air,DC-NJ,Distribution Center,Northeast,49,12,29,14.14,22.42,692.86,2026-04-11,2026-04-25,81,13,0.2097,0.3693,Excess,Review Transfer
INV-00081,B-1081,Mavis PowerStart 24F,Batteries,Automotive,Store-WhitePlains,Retail Store,NYC Metro,38,19,51,117.61,179.17,4469.18,2026-04-27,2026-05-11,65,8,0.1739,0.3436,Healthy,Monitor
INV-00082,F-1082,Extended Life Coolant 1gal,Fluids,Coolant,Store-WhitePlains,Retail Store,NYC Metro,35,11,45,18.52,27.25,648.2,2025-06-01,2025-06-03,395,5,0.125,0.3204,Slow-Moving,Markdown Review
INV-00083,A-1083,Serpentine Belt 6-Rib 68in,Accessories,Belts,Store-Brooklyn,Retail Store,NYC Metro,60,9,27,24.02,35.51,1441.2,2026-05-02,2026-05-06,60,33,0.3548,0.3236,Excess,Review Transfer
INV-00084,SS-1084,Nitrile Gloves Box/100,Shop Supplies,Safety,Store-Manhattan,Retail Store,NYC Metro,79,13,47,18.22,27.81,1439.38,2026-01-07,2026-01-13,175,5,0.0595,0.3448,Excess,Review Transfer
INV-00085,F-1085,ATF+4 Transmission Fluid 1qt,Fluids,Transmission,Store-Bronx,Retail Store,NYC Metro,20,19,35,9.53,14.5,190.6,2026-01-04,2026-01-11,178,16,0.4444,0.3428,Healthy,Monitor
INV-00086,B-1086,Economy Battery 35R,Batteries,Standard,Store-Manhattan,Retail Store,NYC Metro,47,15,51,87.36,138.57,4105.92,2025-10-01,2025-10-10,273,20,0.2985,0.3696,Healthy,Monitor
INV-00087,B-1087,Deep Cycle Marine 27DC,Batteries,Marine,Store-Manhattan,Retail Store,NYC Metro,38,10,37,145.69,228.88,5536.22,2025-10-10,2025-10-15,264,18,0.3214,0.3635,Excess / Aged,Transfer or Markdown
INV-00088,F-1088,Extended Life Coolant 1gal,Fluids,Coolant,Store-Newark,Retail Store,New Jersey,73,9,51,19.05,27.51,1390.65,2025-11-29,2025-12-06,214,25,0.2551,0.3075,Excess / Aged,Transfer or Markdown
INV-00089,F-1089,Synthetic Motor Oil 5W-30 5qt,Fluids,Motor Oil,Store-Newark,Retail Store,New Jersey,3,12,41,29.98,40.97,89.94,2026-05-09,2026-05-10,53,1,0.25,0.2682,Stockout Risk,Replenish
INV-00090,T-1090,Mavis SnowTrack 205/55R16,Tires,Winter,Store-Bronx,Retail Store,NYC Metro,36,15,40,101.15,137.0,3641.4,2026-04-16,2026-04-20,76,25,0.4098,0.2617,Healthy,Monitor
INV-00091,F-1091,Engine Air Filter AF-9921,Filters,Air,Store-Newark,Retail Store,New Jersey,38,17,57,14.34,19.87,544.92,2026-01-23,2026-01-25,159,24,0.3871,0.2783,Healthy,Monitor
INV-00092,F-1092,Synthetic Motor Oil 5W-30 5qt,Fluids,Motor Oil,Store-Queens,Retail Store,NYC Metro,7,14,57,28.44,44.26,199.08,2025-05-09,2025-05-20,418,15,0.6818,0.3574,Stockout Risk,Replenish
INV-00093,BP-1093,Ceramic Brake Pad Set - Front,Brake Parts,Pads,Store-WhitePlains,Retail Store,NYC Metro,72,17,43,33.25,50.13,2394.0,2025-10-04,2025-10-04,270,11,0.1325,0.3367,Excess / Aged,Transfer or Markdown
INV-00094,F-1094,Cabin Air Filter CF-1180,Filters,Cabin,DC-NJ,Distribution Center,Northeast,29,17,36,16.59,26.57,481.11,2025-07-14,2025-07-28,352,32,0.5246,0.3756,Healthy,Monitor
INV-00095,SS-1095,Nitrile Gloves Box/100,Shop Supplies,Safety,Store-Stamford,Retail Store,Connecticut,35,16,35,17.96,28.32,628.6,2025-12-22,2025-12-27,191,29,0.4531,0.3658,Healthy,Monitor
INV-00096,T-1096,Mavis Sport Grip 245/40R18,Tires,Performance,Store-Queens,Retail Store,NYC Metro,71,14,43,129.57,176.66,9199.47,2026-04-25,2026-04-27,67,10,0.1235,0.2666,Excess,Review Transfer
INV-00097,T-1097,3/8in Drive Socket Set 40pc,Tools,Hand Tools,DC-PA,Distribution Center,Northeast,13,10,33,53.96,74.21,701.48,2025-12-05,2025-12-13,208,34,0.7234,0.2729,Healthy,Monitor
INV-00098,B-1098,Mavis PowerStart 24F,Batteries,Automotive,DC-PA,Distribution Center,Northeast,79,18,58,122.03,192.67,9640.37,2025-10-05,2025-10-14,269,19,0.1939,0.3666,Excess / Aged,Transfer or Markdown
INV-00099,F-1099,ATF+4 Transmission Fluid 1qt,Fluids,Transmission,DC-NY,Distribution Center,Northeast,57,17,42,10.14,15.16,577.98,2025-11-15,2025-11-20,228,30,0.3448,0.3311,Excess / Aged,Transfer or Markdown
INV-00100,F-1100,Extended Life Coolant 1gal,Fluids,Coolant,Store-Yonkers,Retail Store,NYC Metro,33,16,56,18.66,29.95,615.78,2025-11-29,2025-12-12,214,15,0.3125,0.377,Healthy,Monitor
INV-00101,F-1101,Premium Oil Filter PF-2234,Filters,Oil,Store-Bronx,Retail Store,NYC Metro,66,15,44,8.66,14.07,571.56,2025-11-18,2025-11-19,225,18,0.2143,0.3845,Excess / Aged,Transfer or Markdown
INV-00102,T-1102,3/8in Drive Socket Set 40pc,Tools,Hand Tools,Store-Manhattan,Retail Store,NYC Metro,0,13,33,51.43,83.74,0.0,2026-02-06,2026-02-08,145,11,1.0,0.3858,Stockout Risk,Replenish
INV-00103,T-1103,Impact Wrench 1/2in 20V,Tools,Power Tools,Store-Queens,Retail Store,NYC Metro,10,13,37,194.58,303.72,1945.8,2025-10-21,2025-10-21,253,19,0.6552,0.3593,Stockout Risk,Replenish
INV-00104,F-1104,Synthetic Motor Oil 5W-30 5qt,Fluids,Motor Oil,Store-Manhattan,Retail Store,NYC Metro,77,17,61,29.75,48.22,2290.75,2025-10-12,2025-10-19,262,30,0.2804,0.383,Excess / Aged,Transfer or Markdown
INV-00105,F-1105,Synthetic Motor Oil 5W-30 5qt,Fluids,Motor Oil,Store-WhitePlains,Retail Store,NYC Metro,55,11,54,27.87,43.75,1532.85,2025-08-06,2025-08-19,329,16,0.2254,0.363,Excess / Aged,Transfer or Markdown
INV-00106,SS-1106,Nitrile Gloves Box/100,Shop Supplies,Safety,Store-Queens,Retail Store,NYC Metro,78,16,47,19.66,28.24,1533.48,2025-09-28,2025-10-12,276,14,0.1522,0.3038,Excess / Aged,Transfer or Markdown
INV-00107,SS-1107,Assorted Clip & Retainer Kit,Shop Supplies,Fasteners,Store-Yonkers,Retail Store,NYC Metro,58,20,57,21.37,33.83,1239.46,2026-02-03,2026-02-04,148,0,0.0,0.3683,Excess,Review Transfer
INV-00108,A-1108,LED Headlight Bulb H11 Pair,Accessories,Lighting,Store-Brooklyn,Retail Store,NYC Metro,84,19,63,38.66,61.4,3247.44,2025-12-16,2025-12-30,197,11,0.1158,0.3704,Excess / Aged,Transfer or Markdown
INV-00109,T-1109,3/8in Drive Socket Set 40pc,Tools,Hand Tools,DC-NY,Distribution Center,Northeast,41,10,41,55.74,75.87,2285.34,2025-07-29,2025-08-11,337,9,0.18,0.2653,Healthy,Monitor
INV-00110,T-1110,Mavis Sport Grip 245/40R18,Tires,Performance,Store-Queens,Retail Store,NYC Metro,26,20,36,127.16,201.18,3306.16,2026-05-12,2026-05-22,50,32,0.5517,0.3679,Healthy,Monitor
INV-00111,T-1111,Mavis Tour Plus 215/60R16,Tires,All-Season,Store-Newark,Retail Store,New Jersey,35,17,54,87.6,134.6,3066.0,2025-07-29,2025-07-29,337,13,0.2708,0.3492,Healthy,Monitor
INV-00112,BP-1112,Brake Hardware Kit,Brake Parts,Hardware,Store-Newark,Retail Store,New Jersey,59,13,28,11.82,17.38,697.38,2025-11-25,2025-12-05,218,9,0.1324,0.3199,Excess / Aged,Transfer or Markdown
INV-00113,T-1113,Impact Wrench 1/2in 20V,Tools,Power Tools,Store-Newark,Retail Store,New Jersey,21,15,50,195.98,314.74,4115.58,2026-03-20,2026-04-01,103,14,0.4,0.3773,Healthy,Monitor
INV-00114,A-1114,Beam Wiper Blade 22in,Accessories,Wipers,Store-Bronx,Retail Store,NYC Metro,37,17,49,20.76,29.19,768.12,2026-01-13,2026-01-17,169,4,0.0976,0.2888,Healthy,Monitor
INV-00115,T-1115,OBD-II Code Reader Pro,Tools,Diagnostic,DC-NY,Distribution Center,Northeast,34,16,41,135.43,194.87,4604.62,2025-09-02,2025-09-14,302,14,0.2917,0.305,Healthy,Monitor
INV-00116,SS-1116,Brake Cleaner 19oz,Shop Supplies,Cleaning,Store-Queens,Retail Store,NYC Metro,8,14,33,5.61,8.58,44.88,2025-10-31,2025-11-14,243,6,0.4286,0.3462,Stockout Risk,Replenish
INV-00117,T-1117,Mavis Sport Grip 245/40R18,Tires,Performance,Store-Queens,Retail Store,NYC Metro,19,14,56,122.82,168.28,2333.58,2025-12-02,2025-12-04,211,12,0.3871,0.2701,Healthy,Monitor
